13
102.375	64.2853	20.5566	24.1293	170.395
99.1334	64.4796	30.2116	33.6228	189.476
88.1577	234.446	36.1227	43.5726	171.536
93.2835	234.247	39.8523	47	174.314
50.6642	239.526	27.6246	31.3357	169.501
54.6331	238.925	17.4438	21.4429	168.422
437.538	273.183	25.9887	26.6354	259.038
432.413	274.127	35.9984	37.4854	310.264
457.815	272.215	48.1097	51.8887	157.923
151.266	69.6369	26.6784	32.1555	188.209
321.412	133.7	13.8865	23.0661	281.168
492.462	146.494	10.4188	12.5619	295.969
97.4453	49.6746	70.7997	133.537	295.195
