13
523.228	616.428	168.925	170.839	263.371
378.626	407.399	29.128	30.7536	157.92
573.276	577.724	18.8586	19.7646	259.225
525.581	545.651	20.4921	21.1034	153.831
471.216	559.752	19.2533	20.4935	196.418
443.31	610.91	19.0426	20.3129	255.455
457.338	665.216	19.5078	20.8692	145.51
506.758	694.115	19.3049	20.3237	301.033
562.477	680.92	20.6474	20.8141	312.66
590.302	632.373	19.3152	20.8445	279.614
515.994	622.671	36.6514	38.6287	165.59
594.942	119.732	23.6279	90.7719	268.969
47.9235	363.545	33.5408	56.7924	175.231
