26
372.095	397.677	29.2347	71.3272	272.554
99.0061	447.11	42.8243	104.344	269.733
156.388	385.912	41.2804	110.403	268.961
100.83	308.36	26.0702	72.7894	269.614
357.731	252.084	21.7726	72.9201	272.28
215.911	216.922	22.3337	80.7824	273.035
421.429	202.609	17.0563	67.685	273.78
105.559	127.259	13.911	57.2376	272.013
215.764	116.395	14.4055	63.8486	269.827
387.538	103.456	9.98734	52.5363	271.921
61.1599	38.9998	8.47542	42.1112	270.681
120.155	74.8345	11.2472	47.1815	271.413
279.91	43.4902	9.23467	42.0302	273.891
370.594	42.8128	6.53743	31.2123	273.861
459.186	75.5356	10.2865	50.8726	272.708
370.695	90.0328	11.0885	60.0251	272.235
296.365	126.036	10.5867	43.382	272.191
34.4083	88.6523	9.48742	36.019	270.638
58.4668	3.49526	5.52229	31.911	273.203
416.103	7.75358	5.84914	44.3442	273.542
468.237	411.209	30.9703	78.7207	275.254
489.587	196.634	20.5335	66.7627	277.274
475.002	167.928	9.00394	37.893	273.393
12.5611	169.925	12.2036	40.9119	270.377
356.281	21.7139	7.8741	32.8103	275.774
465.128	8.0083	5.01555	32.7025	272.05
